0,1,2,3,4,5,6,7,8
Start Date,1989-12-31 00:00:00,,,,,,,
End Date,,,,,,,,
,Industrial production,CFNAI Index,Manufacturing ISM,Manufacturing ISM - Price Paid,Service ISM,Service ISM - Price Paid,US Retail Sales,Richmond Fed Index
,IP Index,CFNAI Index,NAPMPMI Index,NAPMPMI Index,NAPMNMI Index,NAPMNPRC Index,MTSLRRT$ Index,RCHSINDX Index
,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2008-04-30 00:00:00,100.8785,-0.66,48.5,48.5,51.5,75.2,346571,-11
2008-05-31 00:00:00,100.2674,-0.83,48.9,48.9,48.1,79.6,342610,-8
2008-06-30 00:00:00,100.0335,-0.71,49.9,49.9,50.1,77.4,338482,-12
2008-07-31 00:00:00,99.676,-1.2,50.8,50.8,50.6,72.4,336875,-16
2008-08-31 00:00:00,98.1111,-1.25,50.1,50.1,49.4,71.9,330695,-22
2008-09-30 00:00:00,93.7895,-2.57,47.2,47.2,44.7,53.9,322296,-30
2008-10-31 00:00:00,94.7219,-1.12,38.2,38.2,37.8,37.4,320271,-35
2008-11-30 00:00:00,93.4715,-2.34,39,39,40,36.1,319426,-34
2008-12-31 00:00:00,90.8357,-2.67,34.5,34.5,43,41.7,323283,-36
2009-01-31 00:00:00,88.57,-3.03,36.4,36.4,41.6,48.6,319301,-44
2009-02-28 00:00:00,88.031,-1.23,36.6,36.6,40.1,40,314779,-29
2009-03-31 00:00:00,86.6528,-2.34,37.2,37.2,43.7,39.9,315727,-30
2009-04-30 00:00:00,85.9344,-1.6,39.9,39.9,44.4,47.1,317408,-14
2009-05-31 00:00:00,85.0665,-1.19,44.1,44.1,46.4,52.9,317201,-8
2009-06-30 00:00:00,84.7459,-0.93,46.3,46.3,47.1,41.5,318686,-4
2009-07-31 00:00:00,85.7027,0.14,49.7,49.7,48.9,60.8,323564,10
2009-08-31 00:00:00,86.6426,0,53.4,53.4,50.1,49.6,314267,1
2009-09-30 00:00:00,87.4063,-0.21,54.9,54.9,51,53.5,316561,6
2009-10-31 00:00:00,87.6419,-0.29,57.6,57.6,49.5,58.9,317459,7
2009-11-30 00:00:00,88.0221,0.06,55.4,55.4,49.7,58.9,318902,6
2009-12-31 00:00:00,88.3793,-0.28,55.8,55.8,50,59.4,317831,9
2010-01-31 00:00:00,89.3426,0.16,56.3,56.3,51.7,58.7,318365,9
2010-02-28 00:00:00,89.6779,-0.35,55.5,55.5,53.3,60.9,326527,7
2010-03-31 00:00:00,90.2928,0.48,58.8,58.8,55.3,63.8,329607,25
2010-04-30 00:00:00,90.5991,0.4,58.1,58.1,55.5,60.8,326766,14
2010-05-31 00:00:00,91.823,0.3,57.4,57.4,54.4,56.7,327146,9
2010-06-30 00:00:00,91.9928,-0.17,56.5,56.5,54.6,56.1,327014,8
2010-07-31 00:00:00,92.3421,0.15,56.1,56.1,52.4,59.2,328128,4
2010-08-31 00:00:00,92.6805,-0.16,56.4,56.4,53.3,59.5,330100,2
2010-09-30 00:00:00,92.9537,-0.19,55.3,55.3,55.3,68.2,332615,11
2010-10-31 00:00:00,92.6903,-0.12,56.9,56.9,56.4,65.6,335557,13
2010-11-30 00:00:00,92.7709,-0.19,57.3,57.3,56.9,69.3,335185,23
2010-12-31 00:00:00,93.6787,0.09,56.6,56.6,57.6,70,335961,14
2011-01-31 00:00:00,93.4814,0.03,59.1,59.1,58,70.9,336988,12
