Date,Industrial production,CFNAI Index,Manufacturing ISM,Manufacturing ISM - Price Paid,Service ISM,Service ISM - Price Paid,US Retail Sales,Industrial production_growth,US Retail Sales_growth,CFNAI Index_chg,Manufacturing ISM_chg,Manufacturing ISM - Price Paid_chg,Service ISM_chg,Service ISM - Price Paid_chg
2010-11-30,92.7709,-0.19,57.3,57.3,56.9,69.3,335185.0,0.0869184552610764,-0.1109219455890398,-0.07,0.3999999999999986,0.3999999999999986,0.5,3.700000000000003
2010-12-31,93.6787,0.09,56.6,56.6,57.6,70.0,335961.0,0.9737829134777881,0.2312463594521017,0.28,-0.6999999999999957,-0.6999999999999957,0.7000000000000028,0.7000000000000028
2011-01-31,93.4814,0.03,59.1,59.1,58.0,70.9,336988.0,-0.21083561409290058,0.30522396119423223,-0.06,2.5,2.5,0.3999999999999986,0.9000000000000057
2011-02-28,93.1102,-0.38,59.2,59.2,55.8,70.9,337591.0,-0.397874812894078,0.17877821889128304,-0.41000000000000003,0.10000000000000142,0.10000000000000142,-2.200000000000003,0.0
2011-03-31,94.0788,0.41,58.4,58.4,55.2,71.0,337113.0,1.034899107180462,-0.1416917877977996,0.79,-0.8000000000000043,-0.8000000000000043,-0.5999999999999943,0.09999999999999432
2011-04-30,93.7749,-0.48,57.9,57.9,55.0,70.3,334391.0,-0.3235499381844537,-0.8107218747936651,-0.8899999999999999,-0.5,-0.5,-0.20000000000000284,-0.7000000000000028
2011-05-31,93.888,-0.34,54.8,54.8,54.2,62.4,336979.0,0.1205352935432107,0.7709646897907128,0.13999999999999996,-3.1000000000000014,-3.1000000000000014,-0.7999999999999972,-7.899999999999999
2011-06-30,94.172,0.01,55.8,55.8,53.5,60.7,335955.0,0.3020314962187075,-0.30433914481270846,0.35000000000000003,1.0,1.0,-0.7000000000000028,-1.6999999999999957
2011-07-31,94.636,0.17,52.9,52.9,53.5,61.3,335962.0,0.4915055867338456,0.0020835906816578484,0.16,-2.8999999999999986,-2.8999999999999986,0.0,0.5999999999999943
2011-08-31,95.2749,0.01,52.6,52.6,52.3,60.9,338752.0,0.6728443816048307,0.8270217906162088,-0.16,-0.29999999999999716,-0.29999999999999716,-1.2000000000000028,-0.3999999999999986
