Date,US GDP,GDP - Personal Consumption,GDP - Goods Consumption,GDP - Durable Goods Consumption,GDP - Non durable Goods,GDP - Service,GDP - Investment,US GDP_growth,GDP - Personal Consumption_growth,GDP - Goods Consumption_growth,GDP - Durable Goods Consumption_growth,GDP - Non durable Goods_growth,GDP - Service_growth,GDP - Investment_growth
2001-03-31,14183.1,9325.8,2796.2,744.4,2101.7,6020.6,2359.0,-0.3287242207109474,0.36201759387569155,0.2363136192282802,1.6251711967740088,-0.5929949301196121,0.4878505167573303,-4.658745333933897
2001-06-30,14271.7,9344.5,2803.7,743.8,2111.5,6033.5,2362.7,0.6227440455246546,0.20031821934500182,0.2678620862651315,-0.08063432771260413,0.4652054340631792,0.21403514032049217,0.15672324617547145
2001-09-30,14214.5,9377.0,2823.7,752.3,2121.3,6041.9,2311.4,-0.401598506486849,0.3471947509267935,0.7108108259089813,1.1362999075206315,0.46305129043067084,0.1391258485005798,-2.1951631328088697
2001-12-31,14253.6,9528.3,2925.4,815.0,2139.2,6062.6,2196.6,0.27469360151373406,1.6006435265928314,3.5383141777522846,8.005293267468696,0.8402819069373837,0.342021895639971,-5.094269118709548
2002-03-31,14372.8,9549.5,2920.5,806.1,2148.2,6117.2,2262.1,0.8328025105181945,0.22224793976559298,-0.16763889726239367,-1.098030895130748,0.41983548162678913,0.8965724518907132,2.9382875009544263
2002-06-30,14460.8,9597.8,2928.6,811.2,2149.7,6156.0,2298.9,0.6104008742018376,0.5045108443358648,0.27696586407927154,0.6306828547363513,0.06980153381434437,0.6322740484801643,1.6137162280678556
2002-09-30,14519.6,9665.0,2964.8,835.5,2153.3,6181.0,2296.0,0.40579205730012424,0.6977207115863455,1.228508340993868,2.9515715198529633,0.16732516104725215,0.40528547005035154,-0.12622692050112846
2002-12-31,14537.6,9718.7,2976.6,827.9,2179.1,6220.6,2293.7,0.12389357751222761,0.5540752011445756,0.397213300396282,-0.9137973890688198,1.1910398390313364,0.6386294444201759,-0.1002244239287137
2003-03-31,14614.1,9766.6,2993.0,828.6,2196.7,6248.9,2312.5,0.5248419516191557,0.4916536721308682,0.549451931764078,0.08451554985411988,0.8044286717264217,0.45390831371545204,0.8162956186410312
2003-06-30,14743.6,9878.4,3058.2,866.3,2214.3,6285.6,2327.5,0.8822274220497327,1.1382153932654517,2.1550278721352014,4.449373925279311,0.7980092223976365,0.5855854620982277,0.6465539764641811
2003-09-30,14988.8,10018.1,3144.2,904.6,2255.2,6327.2,2411.6,1.6494165221515735,1.404290159224363,2.77329781833624,4.326158814764821,1.830233435578631,0.6596497343595499,3.5495697464028364
2003-12-31,15162.8,10087.1,3172.5,917.7,2268.1,6363.6,2493.9,1.1541804188683145,0.6863922855982459,0.8960434831129167,1.437768278122473,0.5703815786487365,0.5736454725877156,3.355732258990173
2004-03-31,15248.7,10181.1,3208.2,933.7,2285.5,6416.3,2498.1,0.5649193788308047,0.9275680520748567,1.1190111594198107,1.7284647664912656,0.764234218540896,0.8247372626877738,0.16826927047310442
2004-06-30,15366.9,10236.7,3219.3,936.1,2294.7,6458.4,2597.5,0.7721592082847403,0.5446241752958468,0.3453912418450705,0.2567120887818759,0.4017297224130914,0.6539981522843247,3.901900106349914
2004-09-30,15512.6,10356.9,3264.4,960.3,2311.1,6526.4,2638.7,0.9436751323139444,1.1673662206902204,1.3912033993896404,2.5523427266227956,0.7121485653395205,1.047388048248819,1.5736927643921748
2004-12-31,15670.9,10474.1,3308.1,978.5,2334.7,6592.9,2693.6,1.0152892382882426,1.1252579008011332,1.3298027837654747,1.8775051192203926,1.0159801542066627,1.0137822832974188,2.0592217229560332
2005-03-31,15844.7,10540.6,3333.4,983.1,2356.6,6630.0,2769.3,1.1029570239150834,0.6328924226648303,0.7618797675333369,0.46900575367476727,0.9336499087848525,0.5611491783640016,2.771599181735084
2005-06-30,15922.8,10657.4,3382.7,1009.3,2375.3,6690.2,2733.2,0.49169848020911056,1.1020019060438644,1.468140305288992,2.630145587193513,0.7903843001807502,0.9038964861726548,-1.3121496757592461
2005-09-30,16047.6,10745.9,3414.9,1029.0,2384.1,6741.2,2769.1,0.780726133636025,0.8269799925493381,0.9474002838314992,1.9330435589235746,0.3697949333195552,0.7594181560230083,1.3049273732860676
2005-12-31,16136.7,10765.7,3407.7,998.2,2417.5,6768.1,2857.4,0.5536875285652879,0.18408677728770279,-0.21106330937951356,-3.0389078798540727,1.3912253713206,0.3982446988750636,3.1389762791573976
2006-03-31,16353.8,10883.1,3478.3,1037.9,2442.3,6806.4,2899.2,1.3364105270744275,1.0845973066539445,2.0506091758102594,3.900106293573445,1.0206269920592466,0.5642948415302426,1.4522716417602461
2006-06-30,16396.2,10939.5,3483.3,1038.3,2447.2,6855.4,2882.6,0.2589314423780529,0.5168964795713674,0.1436451637481906,0.03853193381648891,0.20042955886518019,0.7173316856308523,-0.5742172199657837
2006-09-30,16420.7,11009.7,3514.0,1053.2,2461.3,6890.7,2871.6,0.14931333886983744,0.6396610296692794,0.8774869445972345,1.4248388312746167,0.5745151790947397,0.5136013501591825,-0.3823298946674378
2006-12-31,16561.9,11114.8,3563.2,1068.0,2495.5,6940.0,2818.2,0.856214262166411,0.9500851145114027,1.390402775606066,1.3954591897985793,1.379944428202282,0.7129098137031653,-1.8770982441323543
2007-03-31,16611.7,11183.3,3397.3,969.9,2435.0,7785.6,2800.0,0.30023896959943935,0.614404056714041,-4.767801902435684,-9.635004612064305,-2.45423533929738,11.497409908835342,-0.647896609770911
2007-06-30,16713.3,11212.7,3405.2,980.1,2429.9,7807.3,2827.0,0.6097543273263719,0.2625470341853914,0.23226765311557665,1.0461633875637095,-0.20966522922481373,0.2783319845432311,0.9596661530294972
2007-09-30,16809.6,11287.5,3426.7,992.1,2437.5,7860.9,2794.5,0.574534213309278,0.6648854282042358,0.6294023910290424,1.2169301380722646,0.3122819647560113,0.6841910250348592,-1.1562878983837546
2007-12-31,16915.2,11331.9,3433.4,999.5,2435.5,7900.1,2762.5,0.6262474210273172,0.3925838618633292,0.19533249166363656,0.7431245284597937,-0.08208496254049458,0.49743139178618717,-1.1517132883744559
2008-03-31,16843.0,11316.4,3377.0,967.2,2416.6,7952.0,2687.0,-0.4277485771529421,-0.13687563675798364,-1.6563282451261243,-3.284985463987174,-0.7790480653389579,0.6548051733563703,-2.7710737210517
