target_volatility,model,variable,coef,std_err,t_stat,p_value
hy_vol_abs_t1,vol_sq_ar1_oil_t1,oil_pos_ma3_lag1,0.0007388383319612365,0.0022414869362014076,0.32961973591214744,0.7416873081998134
hy_vol_sq_t1,vol_sq_ar1_oil_t1,const,0.003824274545042191,0.00041487466971539834,9.21790319873137,3.029664904985463e-20
hy_vol_sq_t1,vol_sq_ar1_oil_t1,hy_vol_sq_lag1,0.21814606817274176,0.040945633320925434,5.32770042810053,9.946399522026587e-08
hy_vol_sq_t1,vol_sq_ar1_oil_t1,oil_pos_lag1,-0.0004175836944928689,0.00023002005919293137,-1.815422950320245,0.06945893679549649
hy_vol_sq_t1,vol_sq_ar1_oil_t1,oil_pos_ma3_lag1,9.885552350548019e-05,0.0005138738143422403,0.19237314832244468,0.8474499240971591
gold_vol_abs_t1,vol_abs_ar1_t1,const,0.5872790957558793,0.02086709267145138,28.143791039915477,2.854630652561046e-174
gold_vol_abs_t1,vol_abs_ar1_t1,gold_vol_abs_lag1,0.12504744025621603,0.026068831193251846,4.796818059437421,1.6120589956036639e-06
gold_vol_abs_t1,vol_abs_har_t1,const,0.19159574077088168,0.040066984138884175,4.781885756780531,1.7365836832003572e-06
gold_vol_abs_t1,vol_abs_har_t1,gold_vol_abs_lag1,0.004934850550967476,0.023111024451415985,0.2135279879670208,0.8309151612124384
gold_vol_abs_t1,vol_abs_har_t1,gold_vol_abs_week,0.11649804013589748,0.06803504876988895,1.7123239013162488,0.08683699434963253
gold_vol_abs_t1,vol_abs_har_t1,gold_vol_abs_month,0.5906241687060227,0.09289593889708973,6.357911612910411,2.0451508421381268e-10
gold_vol_abs_t1,vol_abs_har_oil_smoothed_t1,const,0.20786667518523516,0.040943804267032216,5.076877415433733,3.8368823800391825e-07
gold_vol_abs_t1,vol_abs_har_oil_smoothed_t1,gold_vol_abs_lag1,0.004373155269179589,0.023097242659208143,0.18933668116597244,0.8498289478079782
gold_vol_abs_t1,vol_abs_har_oil_smoothed_t1,gold_vol_abs_week,0.11578778898175683,0.06784229827035775,1.7067197299291355,0.08787415823536175
gold_vol_abs_t1,vol_abs_har_oil_smoothed_t1,gold_vol_abs_month,0.5972819110798621,0.09225809123103976,6.4740328258483375,9.542115746895484e-11
gold_vol_abs_t1,vol_abs_har_oil_smoothed_t1,oil_pos_ma3_lag1,-0.0023992344453002607,0.028838895826643677,-0.08319439342346999,0.9336969706867675
gold_vol_abs_t1,vol_abs_har_oil_smoothed_t1,oil_pos_ma5_lag1,-0.027746659273893446,0.03634526551681295,-0.7634188079065793,0.4452136667665796
gold_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,const,0.18504265571978334,0.04359737126122361,4.244353509551253,2.1922452296580795e-05
gold_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,gold_vol_abs_lag1,0.003053814212740179,0.02302577009491071,0.1326259317344244,0.8944892230266559
gold_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,gold_vol_abs_week,0.10994058321871845,0.06795155616900615,1.6179259080583677,0.10567856609095425
gold_vol_abs_t1,vol_abs_har_oil_smoothed_cross_t1,gold_vol_abs_month,0.58085021343039,0.09050792151510045,6.417672660105008,1.383733840809288e-10
